4K高清,#genre#
徐州3,http://ott.mobaibox.com/PLTV/3/224/3221225949/index.m3u8
徐州4,http://ott.mobaibox.com/PLTV/3/224/3221225951/index.m3u8
纪录片,http://ott.mobaibox.com/PLTV/3/224/3221228723/index.m3u8
每日健身,http://ott.mobaibox.com/PLTV/3/224/3221228454/index.m3u8
动物星球,http://ott.mobaibox.com/PLTV/3/224/3221228559/index.m3u8
美食天府,http://ott.mobaibox.com/PLTV/3/224/3221228562/index.m3u8

银河备用,#genre#
CCTV1,http://223.110.241.137:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ/1.m3u8
CCTV2,http://223.110.241.137:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/1.m3u8
CCTV3,http://223.110.241.137:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ/1.m3u8
CCTV4,http://223.110.241.137:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ/1.m3u8
CCTV5,http://223.110.241.137:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ/1.m3u8
CCTV5+,http://223.110.241.137:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ/1.m3u8
CCTV6,http://223.110.241.137:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ/1.m3u8
CCTV7,http://223.110.241.137:6610/gitv/live1/G_CCTV-7-CQ/G_CCTV-7-CQ/1.m3u8
CCTV8,http://223.110.241.137:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ/1.m3u8
CCTV9,http://223.110.241.137:6610/gitv/live1/G_CCTV-9-CQ/G_CCTV-9-CQ/1.m3u8
CCTV10,http://223.110.241.137:6610/gitv/live1/G_CCTV-10-CQ/G_CCTV-10-CQ/1.m3u8
CCTV11,http://223.110.241.137:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/1.m3u8
CCTV12,http://223.110.241.137:6610/gitv/live1/G_CCTV-12-CQ/G_CCTV-12-CQ/1.m3u8
CCTV13,http://223.110.241.137:6610/gitv/live1/G_CCTV-13-CQ/G_CCTV-13-CQ/1.m3u8
CCTV14,http://223.110.241.137:6610/gitv/live1/G_CCTV-14-CQ/G_CCTV-14-CQ/1.m3u8
CCTV15,http://223.110.241.137:6610/gitv/live1/G_CCTV-15-CQ/G_CCTV-15-CQ/1.m3u8
CCTV16,http://223.110.241.137:6610/gitv/live1/G_CCTV-16-CQ/G_CCTV-16-CQ/1.m3u8
CCTV17,http://223.110.241.137:6610/gitv/live1/G_CCTV-17-CQ/G_CCTV-17-CQ/1.m3u8
女性时尚,http://223.110.241.137:6610/gitv/live1/G_NVXINGSS/G_NVXINGSS/1.m3u8
发现之旅,http://223.110.241.137:6610/gitv/live1/G_FAXIANZL/G_FAXIANZL/1.m3u8
老故事,http://223.110.241.137:6610/gitv/live1/G_LAOGUSHI/G_LAOGUSHI/1.m3u8
CGTN,http://223.110.241.137:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS/1.m3u8
CETV1,http://223.110.241.137:6610/gitv/live1/G_CETV-1/G_CETV-1/1.m3u8
CETV2,http://223.110.241.137:6610/gitv/live1/G_CETV-2/G_CETV-2/1.m3u8
CETV3,http://223.110.241.137:6610/gitv/live1/G_CETV-3/G_CETV-3/1.m3u8
CETV4,http://223.110.241.137:6610/gitv/live1/G_CETV-4/G_CETV-4/1.m3u8
北京卫视,http://223.110.241.137:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/1.m3u8
东方卫视,http://223.110.241.137:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/1.m3u8
天津卫视,http://223.110.241.137:6610/gitv/live1/G_TIANJIN-CQ/G_TIANJIN-CQ/1.m3u8
重庆卫视,http://223.110.241.137:6610/gitv/live1/G_CHONGQING-CQ/G_CHONGQING-CQ/1.m3u8
