移动源,#genre#
CCTV12 8M,http://192.168.31.8:2345/bestv.php?id=cctv12hd8m/8000000
CCTV13 8M,http://192.168.31.8:2345/bestv.php?id=cctv13xwhd8m/8000000
CCTV14 8M,http://192.168.31.8:2345/bestv.php?id=cctvsehd8m/8000000
CCTV15 8M,http://192.168.31.8:2345/bestv.php?id=cctv15hd8m/8000000
CCTV16 8M,http://192.168.31.8:2345/bestv.php?id=cctv16hd8m/8000000
CCTV17 8M,http://192.168.31.8:2345/bestv.php?id=cctv17hd8m/8000000
江苏卫视 8M,http://192.168.31.8:2345/bestv.php?id=jswshd8m/8000000
广西卫视 8M,http://192.168.31.8:2345/bestv.php?id=gxwshd8m/8000000
四川卫视 8M,http://192.168.31.8:2345/bestv.php?id=scwshd/8000000
湖南卫视 8M,http://192.168.31.8:2345/bestv.php?id=hunanwshd8m/8000000
浙江卫视 8M,http://192.168.31.8:2345/bestv.php?id=zjwshd8m/8000000
东方卫视 8M,http://192.168.31.8:2345/bestv.php?id=dfwshd8m/8000000
北京卫视 8M,http://192.168.31.8:2345/bestv.php?id=bjwshd8m/8000000
天津卫视 8M,http://192.168.31.8:2345/bestv.php?id=tjwshd8m/8000000
辽宁卫视 8M,http://192.168.31.8:2345/bestv.php?id=lnwshd8m/8000000
安徽卫视 8M,http://192.168.31.8:2345/bestv.php?id=ahwshd8m/8000000
黑龙江卫视 8M,http://192.168.31.8:2345/bestv.php?id=hljwshd8m/8000000
广东卫视 8M,http://192.168.31.8:2345/bestv.php?id=gdwshd8m/8000000
深圳卫视 8M,http://192.168.31.8:2345/bestv.php?id=szwshd8m/8000000
湖北卫视 8M,http://192.168.31.8:2345/bestv.php?id=hubeiws8m/8000000
吉林卫视 8M,http://192.168.31.8:2345/bestv.php?id=jlwshd8m/8000000
山东卫视 8M,http://192.168.31.8:2345/bestv.php?id=sdws8m/8000000
江西卫视 8M,http://192.168.31.8:2345/bestv.php?id=jxws8m/8000000
河南卫视 8M,http://192.168.31.8:2345/bestv.php?id=hnwshd8m/8000000
河北卫视 8M,http://192.168.31.8:2345/bestv.php?id=hbwshd8m/8000000
甘肃卫视 8M,http://192.168.31.8:2345/bestv.php?id=gswshd8m/8000000
重庆卫视 8M,http://192.168.31.8:2345/bestv.php?id=cqws8m/8000000
东南卫视 8M,http://192.168.31.8:2345/bestv.php?id=dnwshd8m/8000000
云南卫视 8M,http://192.168.31.8:2345/bestv.php?id=ynwshd8m/8000000
贵州卫视 8M,http://192.168.31.8:2345/bestv.php?id=gzwshd8m/8000000
海南卫视 8M,http://192.168.31.8:2345/bestv.php?id=hainanwshd8m/8000000
欢笑剧场 8M,http://192.168.31.8:2345/bestv.php?id=hxjc8m/8000000
劲爆体育 8M,http://192.168.31.8:2345/bestv.php?id=jbtyhd8m/8000000
快乐垂钓 8M,http://192.168.31.8:2345/bestv.php?id=klcd8m/8000000
金鹰纪实 8M,http://192.168.31.8:2345/bestv.php?id=jyjs8m/8000000
戏曲精选 8M,http://192.168.31.8:2345/bestv.php?id=xqjx8m/8000000
上海第一财经 8M,http://192.168.31.8:2345/bestv.php?id=dycjhd8m/8000000
上视新闻 8M,http://192.168.31.8:2345/bestv.php?id=xwzhhd8m/8000000
上海都市 8M,http://192.168.31.8:2345/bestv.php?id=dshd8m/8000000
上海纪实 8M,http://192.168.31.8:2345/bestv.php?id=jspdhd/4000000
东方影视 8M,http://192.168.31.8:2345/bestv.php?id=dfyshd8m/8000000
五星体育 8M,http://192.168.31.8:2345/bestv.php?id=wxtyhd8m/8000000
上视外语 8M,http://192.168.31.8:2345/bestv.php?id=icshd8m/8000000
七彩戏剧 8M,http://192.168.31.8:2345/bestv.php?id=qcxjhd8m/8000000
上海教育 8M,http://192.168.31.8:2345/bestv.php?id=setvhd/8000000
全纪实 8M,http://192.168.31.8:2345/bestv.php?id=qjshd8m/8000000
生活时尚 8M,http://192.168.31.8:2345/bestv.php?id=shss8m/8000000
新视觉 8M,http://192.168.31.8:2345/bestv.php?id=xsjhd8m/8000000
游戏风云 8M,http://192.168.31.8:2345/bestv.php?id=yxfy8m/8000000
热门综艺 8M,http://192.168.31.8:2345/bestv.php?id=rmzy8m/8000000
超级体育 8M,http://192.168.31.8:2345/bestv.php?id=qcsj8m/8000000
健康养生 8M,http://192.168.31.8:2345/bestv.php?id=jkys8m/8000000
百变课堂 8M,http://192.168.31.8:2345/bestv.php?id=bbkt8m/8000000
看天下精选 8M,http://192.168.31.8:2345/bestv.php?id=ktxjx8m/8000000
华语影院 8M,http://192.168.31.8:2345/bestv.php?id=hyyy8m/8000000
电竞天堂 8M,http://192.168.31.8:2345/bestv.php?id=djtt8m/8000000
青春动漫 8M,http://192.168.31.8:2345/bestv.php?id=qcdm8m/8000000
宝宝动画 8M,http://192.168.31.8:2345/bestv.php?id=bbdh8m/8000000
星光影院 8M,http://192.168.31.8:2345/bestv.php?id=xgyy8m/8000000
谍战剧场 8M,http://192.168.31.8:2345/bestv.php?id=dzjc8m/8000000
全球大片 8M,http://192.168.31.8:2345/bestv.php?id=qqdp8m/8000000
热门剧场 8M,http://192.168.31.8:2345/bestv.php?id=rmjc8m/8000000
陶瓷高清 8M,http://192.168.31.8:2345/bestv.php?id=taocihd/8000000
中国教育-1 8M,http://192.168.31.8:2345/bestv.php?id=zgjy1t8m/8000000
中国教育-4 8M,http://192.168.31.8:2345/bestv.php?id=zgjy4hd8m/8000000
卡酷少儿 8M,http://192.168.31.8:2345/bestv.php?id=kkse8m/8000000
纪实科教 8M,http://192.168.31.8:2345/bestv.php?id=dajs8m/8000000
茶频道 8M,http://192.168.31.8:2345/bestv.php?id=cpdhdavs8m/8000000
足球高清 8M,http://192.168.31.8:2345/bestv.php?id=zqpd8m/8000000
炫动卡通 8M,http://192.168.31.8:2345/bestv.php?id=hhxd8m/8000000
东方财经 8M,http://192.168.31.8:2345/bestv.php?id=dfcjhd8m/8000000
都市剧场 8M,http://192.168.31.8:2345/bestv.php?id=dsjc8m/8000000
动漫秀场 8M,http://192.168.31.8:2345/bestv.php?id=dmxc8m/8000000
法治天地 8M,http://192.168.31.8:2345/bestv.php?id=fztd8m/8000000
金色学堂 8M,http://192.168.31.8:2345/bestv.php?id=jingsepd8m/8000000
魅力足球 8M,http://192.168.31.8:2345/bestv.php?id=mlyyhd8m/8000000
